// This is a sample of track data,,,,
// It's in .csv format, so you can use Excel to edit it! That's handy.,,,
//dur           turn              hill                  signType    signJitter,,,,
3,8,8,-1,0.5
3,4,4,-1,0.5
3,4,-4,-1,0.5
3,8,-8,-1,0.5
3,-8,-8,-1,0.5
3,-4,-4,-1,0.5
3,-4,4,-1,0.5
3,-8,8,-1,0.5
2.5,8,8,-1,0.5
2.5,4,4,-1,0.5
2.5,4,-4,-1,0.5
2.5,8,-8,-1,0.5
2.5,-8,-8,-1,0.5
2.5,-4,-4,-1,0.5
2.5,-4,4,-1,0.5
2.5,-8,8,-1,0.5
2,8,8,-1,0.5
2,4,4,-1,0.5
2,4,-4,-1,0.5
2,8,-8,-1,0.5
2,-8,-8,-1,0.5
2,-4,-4,-1,0.5
2,-4,4,-1,0.5
2,-8,8,-1,0.5
3,8,8,-1,0.5
3,4,4,-1,0.5
3,4,-4,-1,0.5
3,8,-8,-1,0.5
3,-8,-8,-1,0.5
3,-4,-4,-1,0.5
3,-4,4,-1,0.5
3,-8,8,-1,0.5
2.5,8,8,-1,0.5
2.5,4,4,-1,0.5
2.5,4,-4,-1,0.5
2.5,8,-8,-1,0.5
2.5,-8,-8,-1,0.5
2.5,-4,-4,-1,0.5
2.5,-4,4,-1,0.5
2.5,-8,8,-1,0.5
2,8,8,-1,0.5
2,4,4,-1,0.5
2,4,-4,-1,0.5
2,8,-8,-1,0.5
2,-8,-8,-1,0.5
2,-4,-4,-1,0.5
2,-4,4,-1,0.5
2,-8,8,-1,0.5
3,8,8,-1,0.5
3,4,4,-1,0.5
3,4,-4,-1,0.5
3,8,-8,-1,0.5
3,-8,-8,-1,0.5
3,-4,-4,-1,0.5
3,-4,4,-1,0.5
3,-8,8,-1,0.5
2.5,8,8,-1,0.5
2.5,4,4,-1,0.5
2.5,4,-4,-1,0.5
2.5,8,-8,-1,0.5
2.5,-8,-8,-1,0.5
2.5,-4,-4,-1,0.5
2.5,-4,4,-1,0.5
2.5,-8,8,-1,0.5
2,8,8,-1,0.5
2,4,4,-1,0.5
2,4,-4,-1,0.5
2,8,-8,-1,0.5
2,-8,-8,-1,0.5
2,-4,-4,-1,0.5
2,-4,4,-1,0.5
2,-8,8,-1,0.5
